Fecha,Turno,Posicion,Numero
28/06/2024,Vespertina,08,915
28/06/2024,Vespertina,09,740
28/06/2024,Vespertina,10,573
28/06/2024,Vespertina,11,669
28/06/2024,Vespertina,12,193
28/06/2024,Vespertina,13,045
28/06/2024,Vespertina,14,067
28/06/2024,Vespertina,15,567
28/06/2024,Vespertina,16,994
28/06/2024,Vespertina,17,642
28/06/2024,Vespertina,18,333
28/06/2024,Vespertina,19,352
28/06/2024,Vespertina,20,634
27/06/2024,Nocturna,01,661
27/06/2024,Nocturna,02,459
27/06/2024,Nocturna,03,218
27/06/2024,Nocturna,04,603
27/06/2024,Nocturna,05,225
27/06/2024,Nocturna,06,958
27/06/2024,Nocturna,07,268
27/06/2024,Nocturna,08,730
27/06/2024,Nocturna,09,169
27/06/2024,Nocturna,10,722
27/06/2024,Nocturna,11,249
27/06/2024,Nocturna,12,690
27/06/2024,Nocturna,13,100
27/06/2024,Nocturna,14,108
27/06/2024,Nocturna,15,167
27/06/2024,Nocturna,16,123
27/06/2024,Nocturna,17,910
27/06/2024,Nocturna,18,817
27/06/2024,Nocturna,19,011
27/06/2024,Nocturna,20,485
27/06/2024,Vespertina,01,004
27/06/2024,Vespertina,02,157
27/06/2024,Vespertina,03,437
27/06/2024,Vespertina,04,023
27/06/2024,Vespertina,05,654
27/06/2024,Vespertina,06,842
27/06/2024,Vespertina,07,235
27/06/2024,Vespertina,08,977
27/06/2024,Vespertina,09,405
27/06/2024,Vespertina,10,551
27/06/2024,Vespertina,11,067
27/06/2024,Vespertina,12,469
27/06/2024,Vespertina,13,169
27/06/2024,Vespertina,14,457
27/06/2024,Vespertina,15,909
27/06/2024,Vespertina,16,954
27/06/2024,Vespertina,17,456
27/06/2024,Vespertina,18,746
27/06/2024,Vespertina,19,002
27/06/2024,Vespertina,20,973
26/06/2024,Vespertina,01,637
26/06/2024,Vespertina,02,012
26/06/2024,Vespertina,03,974
26/06/2024,Vespertina,04,923
26/06/2024,Vespertina,05,560
26/06/2024,Vespertina,06,491
26/06/2024,Vespertina,07,563
26/06/2024,Vespertina,08,167
26/06/2024,Vespertina,09,744
26/06/2024,Vespertina,10,242
26/06/2024,Vespertina,11,927
26/06/2024,Vespertina,12,308
26/06/2024,Vespertina,13,415
26/06/2024,Vespertina,14,393
26/06/2024,Vespertina,15,997
26/06/2024,Vespertina,16,049
26/06/2024,Vespertina,17,749
26/06/2024,Vespertina,18,381
26/06/2024,Vespertina,19,995
26/06/2024,Vespertina,20,346
25/06/2024,Nocturna,01,679
25/06/2024,Nocturna,02,360
25/06/2024,Nocturna,03,231
25/06/2024,Nocturna,04,129
25/06/2024,Nocturna,05,973
25/06/2024,Nocturna,06,804
25/06/2024,Nocturna,07,955
25/06/2024,Nocturna,08,080
25/06/2024,Nocturna,09,774
25/06/2024,Nocturna,10,647
25/06/2024,Nocturna,11,368
25/06/2024,Nocturna,12,917
